id,Afghanistan,Brazil,Finland,Germany,India,Japan,Italy,Kenya,Malaysia,Nepal,Ukraine
1,0,0,0,0,0,2,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,0,0
3,0,0,0,0,0,2,0,0,0,0,0
4,0,0,0,0,0,2,0,0,4,1,0
5,0,0,0,0,0,4,0,0,4,1,0
6,0,0,0,1,0,4,0,0,4,1,0
7,0,0,0,4,0,7,0,0,4,1,0
8,0,0,1,4,0,7,0,0,7,1,0
9,0,0,1,4,1,11,0,0,8,1,0
10,0,0,1,5,1,15,2,0,8,1,0
11,0,0,1,8,1,20,2,0,8,1,0
12,0,0,1,10,2,20,2,0,8,1,0
13,0,0,1,12,3,20,2,0,8,1,0
14,0,0,1,12,3,22,2,0,10,1,0
15,0,0,1,12,3,23,2,0,12,1,0
16,0,0,1,12,3,23,2,0,14,1,0
17,0,0,1,13,3,23,3,0,15,1,0
18,0,0,1,13,3,24,3,0,16,1,0
19,0,0,1,14,3,24,3,0,17,1,0
20,0,0,1,14,3,26,3,0,18,1,0
21,0,0,2,16,3,27,3,0,18,1,0
22,0,0,2,16,3,28,3,0,18,1,0
23,0,0,2,16,3,33,3,0,18,1,0
24,0,0,2,16,3,43,3,0,19,1,0
25,0,0,2,16,3,54,3,0,22,1,0
26,0,0,2,16,3,60,3,0,22,1,0
27,0,0,2,16,3,67,3,0,22,1,0
28,0,0,2,16,3,79,3,0,22,1,0
29,0,0,2,16,3,85,3,0,22,1,0
30,0,0,2,16,3,95,3,0,22,1,0
31,0,0,2,16,3,112,20,0,22,1,0
32,0,0,2,16,3,137,62,0,22,1,0
33,0,0,3,16,3,149,155,0,22,1,0
34,5,0,3,16,3,160,229,0,22,1,0
35,5,0,3,16,3,173,322,0,22,1,0
36,5,1,4,21,3,192,453,0,22,1,0
37,5,1,4,26,3,218,655,0,23,1,0
38,5,1,5,53,3,236,888,0,25,1,0
39,5,2,8,66,3,245,1128,0,29,1,0
40,5,2,9,117,3,259,1694,0,29,1,0
41,5,2,10,150,5,278,2036,0,29,1,0
42,5,2,10,188,5,298,2502,0,36,1,1
43,5,4,14,240,28,333,3089,0,50,1,1
44,5,4,20,349,30,365,3858,0,55,1,1
45,5,13,21,534,31,420,4636,0,83,1,1
46,8,13,28,684,34,466,5883,0,93,1,1
47,8,20,35,847,39,499,7375,0,99,1,1
48,8,25,44,1112,43,527,9172,0,117,1,1
49,8,31,61,1296,56,585,10149,0,129,1,1
50,11,38,115,1567,62,640,12462,0,149,1,1
51,11,52,191,2369,73,696,15113,0,158,1,1
52,11,151,251,3062,82,733,17660,1,197,1,3
53,14,151,279,3795,102,795,21157,1,238,1,3
54,20,162,308,4838,113,826,24747,3,428,1,3
55,25,200,361,6012,119,843,27980,3,553,1,7
56,26,321,413,7156,142,893,31506,3,673,1,14
57,26,372,460,8198,156,928,35713,3,790,1,14
58,26,621,550,10999,194,968,41035,7,900,1,16
59,24,793,649,13957,244,1022,47021,7,1030,1,29
60,24,1021,736,16662,330,1059,53578,7,1183,1,47
61,34,1546,823,18610,396,1104,59138,15,1306,1,73
62,40,1924,901,22672,499,1144,63927,16,1518,2,73
63,42,2247,985,27436,536,1217,69176,25,1624,2,97
64,74,2554,1084,31554,657,1314,74386,28,1796,3,145
65,80,2985,1188,36508,727,1416,80589,31,2031,3,196
66,91,3417,1301,42288,887,1530,86498,31,2161,4,310
67,106,3904,1396,48582,987,1728,92472,38,2320,5,356
68,114,4256,1473,52547,1024,1907,97689,42,2470,5,475
69,114,4579,1543,57298,1251,2001,101739,50,2626,5,548
70,166,5717,1672,61913,1397,2255,105792,59,2766,5,645
71,192,6836,1797,67366,1998,2535,110574,81,2908,5,794
72,235,8044,1946,73522,2543,2818,115242,110,3116,6,897
73,269,9056,2107,79696,2567,3154,119827,122,3333,6,1072
74,270,10360,2306,85778,3082,3525,124632,126,3483,9,1225
75,299,11130,2387,91714,3588,3876,128948,142,3662,9,1308
76,337,12161,2509,95391,4778,4110,132547,158,3793,9,1319
77,367,14034,2718,99225,5311,4485,135586,172,3963,9,1462
78,423,16170,2918,103228,5916,5020,139422,179,4119,9,1668
79,444,18092,3056,108202,6725,5614,143626,184,4228,9,1892
80,521,19638,3214,113525,7598,6250,147577,189,4346,9,2203
81,521,20727,3285,117658,8446,6951,152271,191,4530,9,2511
82,555,22192,3360,120479,9205,7473,156363,197,4683,12,2777
83,607,23430,3440,123016,10453,7773,159516,208,4817,14,3102
84,665,25262,3557,125098,11487,8277,162488,216,4987,16,3372
85,770,28320,3732,127584,12322,8835,165155,225,5072,16,3764
86,794,30425,3862,130450,13430,9398,168941,234,5182,16,4161
87,845,33682,3982,133830,14352,9958,172434,246,5251,30,4662
88,908,36658,4107,137439,15722,10548,175925,262,5305,31,5106
89,933,38654,4163,139897,17615,10914,178972,270,5389,31,5449
90,996,40743,4230,141672,18539,11258,181228,281,5425,31,5710
91,1026,43079,4373,143457,20080,11641,183957,296,5482,43,6125
92,1092,45757,4485,145694,21370,12037,187327,303,5532,45,6592
93,1176,50036,4609,148046,23077,12469,189973,320,5603,48,7170
94,1226,54043,4725,150383,24530,12854,192994,336,5691,49,7647
95,1330,59324,4817,152438,26283,13186,195351,343,5742,49,8125
96,1463,63100,4893,154175,27890,13405,197675,355,5780,52,8617
97,1531,67446,4966,155193,29451,13576,199414,363,5820,52,9009
98,1703,73235,5089,156337,31324,13860,201505,374,5851,54,9410
99,1827,79685,5228,157641,33062,14076,203591,384,5945,57,9866
100,1827,87187,5336,159119,34863,14284,205463,396,6002,57,10406
101,2171,92202,5422,160758,37257,14558,207428,411,6071,59,10861
102,2469,97100,5470,161703,39699,14861,209328,435,6176,59,11411
103,2469,101826,5528,162496,42505,15061,210717,465,6298,75,11913
104,2469,108620,5589,163175,46437,15229,211938,490,6353,75,12331
105,2469,115455,5722,163860,49400,15354,213013,535,6383,82,12697
