id,cases
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,8
47,8
48,8
49,8
50,11
51,11
52,11
53,14
54,20
55,25
56,26
57,26
58,26
59,24
60,24
61,34
62,40
63,42
64,74
65,80
66,91
67,106
68,114
69,114
70,166
71,192
72,235
73,269
74,270
75,299
76,337
77,367
78,423
79,444
80,521
81,521
82,555
83,607
84,665
85,770
86,794
87,845
88,908
89,933
90,996
91,1026
92,1092
93,1176
94,1226
95,1330
96,1463
97,1531
98,1703
99,1827
100,1827
101,2171
102,2469
103,2469
104,2469
105,2469
106,3224
107,3392
108,3563
109,3563
110,4402
111,4664
112,4967
113,4967
114,5339
115,6053
116,6402
117,6635
118,7072
119,7655
120,8145
121,8676
122,9216
123,9952
124,10668
125,11180
126,11917
127,12465
128,13102
129,13745
130,14529
131,15180
132,15836
133,16578
134,17353
135,17977
136,19055
137,19637
138,20428
139,21003
140,21308
141,22228
142,22976
143,23632
144,24188
145,24852
146,25613
147,25719
148,26960
149,27423
150,27964
151,28383
152,28919
153,29229
154,29567
155,29726
156,30261
157,30346
158,30702
159,31053
160,31324
161,31445
162,31848
163,32108
164,32410
165,32758
166,33037
167,33150
168,33470
169,33680
170,33739
171,34280
172,34437
173,34537
174,34541
175,34826
176,35026
177,35156
178,35315
179,35375
180,35561
181,35595
182,35701
183,35813
184,36001
185,36067
186,36122
187,36243
188,36349
189,36454
190,36557
191,36628
192,36628
193,36796
194,36796
195,36796
196,36833
197,36915
198,36982
199,37023
200,37101
201,37140
202,37140
203,37355
204,37431
205,37510
206,37517
207,37637
208,37682
209,37682
210,37685
211,37685
212,37845
213,37942
214,37980
215,38039
216,38085
217,38156
218,38199
219,38215
220,38226
221,38229
222,38229
223,38248
224,38282
225,38329
226,38374
227,38374
228,38390
229,38484
230,38580
231,38606
232,38630
233,38658
234,38692
235,38727
236,38802
237,38858
238,38901
239,38941
240,38958
241,38969
242,39005
